# MAUVE passband
# Derived from the MAUVE effective-area curve (Wavelength [nm], Effective area [cm2])
#   supplied by the user; normalised to unit peak. Only the spectral shape enters the
#   flux ratio, so the absolute collecting area cancels.
# Created: 2026-07-28
# provenance: official
# unit: nm
# transmission: fraction
396.2417 0.954816
396.5283 0.957042
396.8148 0.959266
397.1013 0.961489
397.3878 0.963710
397.6743 0.965929
397.9607 0.968146
398.2472 0.970363
398.5336 0.972578
398.8200 0.974791
399.1063 0.977002
399.3927 0.979086
399.6790 0.981152
399.9653 0.983215
400.2516 0.985251
400.5379 0.986685
400.8241 0.987263
401.1104 0.987840
401.3966 0.988416
401.6827 0.988991
401.9689 0.989566
402.2550 0.990148
402.5412 0.990730
402.8273 0.991311
403.1134 0.991892
403.3994 0.992952
403.6855 0.993932
403.9715 0.994910
404.2575 0.995883
404.5435 0.996853
404.8294 0.997821
405.1154 0.998788
405.4013 0.999752
405.6872 0.999815
405.9730 0.999802
406.2589 0.999827
406.5447 0.999857
406.8306 0.999885
407.1164 0.999913
407.4021 0.999940
407.6879 0.999967
407.9736 0.999992
408.2593 1.000000
408.5450 0.999953
408.8307 0.999906
409.1163 0.999858
409.4020 0.999809
409.6876 0.999759
409.9732 0.999709
410.2587 0.995996
410.5443 0.996016
410.8298 0.996035
411.1153 0.996053
411.4008 0.996071
411.6863 0.996087
411.9717 0.996103
412.2571 0.996117
412.5425 0.996130
412.8279 0.996142
413.1133 0.996153
413.3986 0.988238
413.6839 0.986933
413.9692 0.985629
414.2545 0.984330
414.5398 0.983032
414.8250 0.981735
415.1102 0.980440
415.3954 0.979145
415.6806 0.977850
415.9657 0.976412
416.2509 0.974966
416.5360 0.973521
416.8211 0.972077
417.1061 0.970634
417.3912 0.969192
417.6762 0.967752
417.9612 0.966313
418.2462 0.964875
418.5312 0.963438
418.8161 0.962002
419.1010 0.960568
419.3859 0.959135
419.6708 0.957703
419.9557 0.956272
420.2405 0.945310
420.5253 0.942643
420.8101 0.939978
421.0949 0.937317
421.3797 0.934939
421.6644 0.932729
421.9491 0.930522
422.2338 0.928328
422.5185 0.926136
422.8031 0.923946
423.0878 0.921759
423.3724 0.919574
423.6570 0.917392
423.9415 0.915213
