teff,logg,mh,alpha,node
21000,4.75,-1,0,484
21000,4.75,-0.699,0,485
21000,4.75,-0.301,0,486
21000,4.75,0,0,488
21000,4.75,0.301,0,489
22000,2.5,-1,0,490
22000,2.5,-0.699,0,491
22000,2.5,-0.301,0,492
22000,2.5,0,0,494
22000,2.5,0.301,0,495
22000,2.75,-1,0,496
22000,2.75,-0.699,0,497
22000,2.75,-0.301,0,498
22000,2.75,0,0,500
22000,2.75,0.301,0,501
22000,3,-1,0,502
22000,3,-0.699,0,503
22000,3,-0.301,0,504
22000,3,0,0,506
22000,3,0.301,0,507
22000,3.25,-1,0,508
22000,3.25,-0.699,0,509
22000,3.25,-0.301,0,510
22000,3.25,0,0,512
22000,3.25,0.301,0,513
22000,3.5,-1,0,514
22000,3.5,-0.699,0,515
22000,3.5,-0.301,0,516
22000,3.5,0,0,518
22000,3.5,0.301,0,519
22000,3.75,-1,0,520
22000,3.75,-0.699,0,521
22000,3.75,-0.301,0,522
22000,3.75,0,0,524
22000,3.75,0.301,0,525
22000,4,-1,0,526
22000,4,-0.699,0,527
22000,4,-0.301,0,528
22000,4,0,0,530
22000,4,0.301,0,531
22000,4.25,-1,0,532
22000,4.25,-0.699,0,533
22000,4.25,-0.301,0,534
22000,4.25,0,0,536
22000,4.25,0.301,0,537
22000,4.5,-1,0,538
22000,4.5,-0.699,0,539
22000,4.5,-0.301,0,540
22000,4.5,0,0,542
22000,4.5,0.301,0,543
22000,4.75,-1,0,544
22000,4.75,-0.699,0,545
22000,4.75,-0.301,0,546
22000,4.75,0,0,548
22000,4.75,0.301,0,549
23000,2.5,-1,0,550
23000,2.5,-0.699,0,551
23000,2.5,-0.301,0,552
23000,2.5,0,0,554
23000,2.5,0.301,0,555
23000,2.75,-1,0,556
23000,2.75,-0.699,0,557
23000,2.75,-0.301,0,558
23000,2.75,0,0,560
23000,2.75,0.301,0,561
23000,3,-1,0,562
23000,3,-0.699,0,563
23000,3,-0.301,0,564
23000,3,0,0,566
23000,3,0.301,0,567
23000,3.25,-1,0,568
23000,3.25,-0.699,0,569
23000,3.25,-0.301,0,570
23000,3.25,0,0,572
23000,3.25,0.301,0,573
23000,3.5,-1,0,574
23000,3.5,-0.699,0,575
23000,3.5,-0.301,0,576
23000,3.5,0,0,578
23000,3.5,0.301,0,579
23000,3.75,-1,0,580
23000,3.75,-0.699,0,581
23000,3.75,-0.301,0,582
23000,3.75,0,0,584
23000,3.75,0.301,0,585
23000,4,-1,0,586
23000,4,-0.699,0,587
23000,4,-0.301,0,588
23000,4,0,0,590
23000,4,0.301,0,591
23000,4.25,-1,0,592
23000,4.25,-0.699,0,593
23000,4.25,-0.301,0,594
23000,4.25,0,0,596
23000,4.25,0.301,0,597
23000,4.5,-1,0,598
23000,4.5,-0.699,0,599
23000,4.5,-0.301,0,600
23000,4.5,0,0,602
23000,4.5,0.301,0,603
23000,4.75,-1,0,604
23000,4.75,-0.699,0,605
23000,4.75,-0.301,0,606
23000,4.75,0,0,608
23000,4.75,0.301,0,609
24000,2.5,-1,0,610
24000,2.5,-0.699,0,611
24000,2.5,-0.301,0,612
24000,2.5,0,0,614
24000,2.5,0.301,0,615
24000,2.75,-1,0,616
24000,2.75,-0.699,0,617
24000,2.75,-0.301,0,618
24000,2.75,0,0,620
24000,2.75,0.301,0,621
24000,3,-1,0,622
24000,3,-0.699,0,623
24000,3,-0.301,0,624
24000,3,0,0,626
24000,3,0.301,0,627
24000,3.25,-1,0,628
24000,3.25,-0.699,0,629
24000,3.25,-0.301,0,630
24000,3.25,0,0,632
24000,3.25,0.301,0,633
24000,3.5,-1,0,634
24000,3.5,-0.699,0,635
24000,3.5,-0.301,0,636
24000,3.5,0,0,638
24000,3.5,0.301,0,639
24000,3.75,-1,0,640
24000,3.75,-0.699,0,641
24000,3.75,-0.301,0,642
24000,3.75,0,0,644
24000,3.75,0.301,0,645
24000,4,-1,0,646
24000,4,-0.699,0,647
24000,4,-0.301,0,648
24000,4,0,0,650
24000,4,0.301,0,651
24000,4.25,-1,0,652
