teff,logg,mh,alpha,node
5000,0.5,0.5,0,11239
5000,1,-2.5,0,9812
5000,1,-2,0,9336
5000,1,-1.5,0,8860
5000,1,-1,0,8384
5000,1,-0.5,0,7908
5000,1,0,0,10288
5000,1,0.2,0,10764
5000,1,0.5,0,11240
5000,1.5,-2.5,0,9813
5000,1.5,-2,0,9337
5000,1.5,-1.5,0,8861
5000,1.5,-1,0,8385
5000,1.5,-0.5,0,7909
5000,1.5,0,0,10289
5000,1.5,0.2,0,10765
5000,1.5,0.5,0,11241
5000,2,-2.5,0,9814
5000,2,-2,0,9338
5000,2,-1.5,0,8862
5000,2,-1,0,8386
5000,2,-0.5,0,7910
5000,2,0,0,10290
5000,2,0.2,0,10766
5000,2,0.5,0,11242
5000,2.5,-2.5,0,9815
5000,2.5,-2,0,9339
5000,2.5,-1.5,0,8863
5000,2.5,-1,0,8387
5000,2.5,-0.5,0,7911
5000,2.5,0,0,10291
5000,2.5,0.2,0,10767
5000,2.5,0.5,0,11243
5000,3,-2.5,0,9816
5000,3,-2,0,9340
5000,3,-1.5,0,8864
5000,3,-1,0,8388
5000,3,-0.5,0,7912
5000,3,0,0,10292
5000,3,0.2,0,10768
5000,3,0.5,0,11244
5000,3.5,-2.5,0,9817
5000,3.5,-2,0,9341
5000,3.5,-1.5,0,8865
5000,3.5,-1,0,8389
5000,3.5,-0.5,0,7913
5000,3.5,0,0,10293
5000,3.5,0.2,0,10769
5000,3.5,0.5,0,11245
5000,4,-2.5,0,9818
5000,4,-2,0,9342
5000,4,-1.5,0,8866
5000,4,-1,0,8390
5000,4,-0.5,0,7914
5000,4,0,0,10294
5000,4,0.2,0,10770
5000,4,0.5,0,11246
5000,4.5,-2.5,0,9819
5000,4.5,-2,0,9343
5000,4.5,-1.5,0,8867
5000,4.5,-1,0,8391
5000,4.5,-0.5,0,7915
5000,4.5,0,0,10295
5000,4.5,0.2,0,10771
5000,4.5,0.5,0,11247
5000,5,-2.5,0,9820
5000,5,-2,0,9344
5000,5,-1.5,0,8868
5000,5,-1,0,8392
5000,5,-0.5,0,7916
5000,5,0,0,10296
5000,5,0.2,0,10772
5000,5,0.5,0,11248
5250,0,-2.5,0,9821
5250,0,-2,0,9345
5250,0,-1.5,0,8869
5250,0,-1,0,8393
5250,0,-0.5,0,7917
5250,0,0,0,10297
5250,0,0.2,0,10773
5250,0,0.5,0,11249
5250,0.5,-2.5,0,9822
5250,0.5,-2,0,9346
5250,0.5,-1.5,0,8870
5250,0.5,-1,0,8394
5250,0.5,-0.5,0,7918
5250,0.5,0,0,10298
5250,0.5,0.2,0,10774
5250,0.5,0.5,0,11250
5250,1,-2.5,0,9823
5250,1,-2,0,9347
5250,1,-1.5,0,8871
5250,1,-1,0,8395
5250,1,-0.5,0,7919
5250,1,0,0,10299
5250,1,0.2,0,10775
5250,1,0.5,0,11251
5250,1.5,-2.5,0,9824
5250,1.5,-2,0,9348
5250,1.5,-1.5,0,8872
5250,1.5,-1,0,8396
5250,1.5,-0.5,0,7920
5250,1.5,0,0,10300
5250,1.5,0.2,0,10776
5250,1.5,0.5,0,11252
5250,2,-2.5,0,9825
5250,2,-2,0,9349
5250,2,-1.5,0,8873
5250,2,-1,0,8397
5250,2,-0.5,0,7921
5250,2,0,0,10301
5250,2,0.2,0,10777
5250,2,0.5,0,11253
5250,2.5,-2.5,0,9826
5250,2.5,-2,0,9350
5250,2.5,-1.5,0,8874
5250,2.5,-1,0,8398
5250,2.5,-0.5,0,7922
5250,2.5,0,0,10302
5250,2.5,0.2,0,10778
5250,2.5,0.5,0,11254
5250,3,-2.5,0,9827
5250,3,-2,0,9351
5250,3,-1.5,0,8875
5250,3,-1,0,8399
5250,3,-0.5,0,7923
5250,3,0,0,10303
5250,3,0.2,0,10779
5250,3,0.5,0,11255
5250,3.5,-2.5,0,9828
5250,3.5,-2,0,9352
5250,3.5,-1.5,0,8876
5250,3.5,-1,0,8400
5250,3.5,-0.5,0,7924
5250,3.5,0,0,10304
5250,3.5,0.2,0,10780
5250,3.5,0.5,0,11256
5250,4,-2.5,0,9829
5250,4,-2,0,9353
5250,4,-1.5,0,8877
5250,4,-1,0,8401
5250,4,-0.5,0,7925
5250,4,0,0,10305
5250,4,0.2,0,10781
5250,4,0.5,0,11257
5250,4.5,-2.5,0,9830
5250,4.5,-2,0,9354
5250,4.5,-1.5,0,8878
5250,4.5,-1,0,8402
5250,4.5,-0.5,0,7926
5250,4.5,0,0,10306
5250,4.5,0.2,0,10782
5250,4.5,0.5,0,11258
5250,5,-2.5,0,9831
5250,5,-2,0,9355
5250,5,-1.5,0,8879
5250,5,-1,0,8403
5250,5,-0.5,0,7927
5250,5,0,0,10307
5250,5,0.2,0,10783
5250,5,0.5,0,11259
5500,0,-2.5,0,9832
5500,0,-2,0,9356
5500,0,-1.5,0,8880
5500,0,-1,0,8404
5500,0,-0.5,0,7928
5500,0,0,0,10308
5500,0,0.2,0,10784
5500,0,0.5,0,11260
5500,0.5,-2.5,0,9833
5500,0.5,-2,0,9357
5500,0.5,-1.5,0,8881
5500,0.5,-1,0,8405
5500,0.5,-0.5,0,7929
5500,0.5,0,0,10309
5500,0.5,0.2,0,10785
5500,0.5,0.5,0,11261
5500,1,-2.5,0,9834
5500,1,-2,0,9358
5500,1,-1.5,0,8882
5500,1,-1,0,8406
5500,1,-0.5,0,7930
5500,1,0,0,10310
5500,1,0.2,0,10786
5500,1,0.5,0,11262
5500,1.5,-2.5,0,9835
5500,1.5,-2,0,9359
5500,1.5,-1.5,0,8883
5500,1.5,-1,0,8407
5500,1.5,-0.5,0,7931
5500,1.5,0,0,10311
5500,1.5,0.2,0,10787
5500,1.5,0.5,0,11263
5500,2,-2.5,0,9836
5500,2,-2,0,9360
5500,2,-1.5,0,8884
5500,2,-1,0,8408
5500,2,-0.5,0,7932
5500,2,0,0,10312
5500,2,0.2,0,10788
5500,2,0.5,0,11264
5500,2.5,-2.5,0,9837
5500,2.5,-2,0,9361
5500,2.5,-1.5,0,8885
5500,2.5,-1,0,8409
5500,2.5,-0.5,0,7933
5500,2.5,0,0,10313
5500,2.5,0.2,0,10789
5500,2.5,0.5,0,11265
5500,3,-2.5,0,9838
5500,3,-2,0,9362
5500,3,-1.5,0,8886
5500,3,-1,0,8410
5500,3,-0.5,0,7934
5500,3,0,0,10314
5500,3,0.2,0,10790
5500,3,0.5,0,11266
5500,3.5,-2.5,0,9839
5500,3.5,-2,0,9363
5500,3.5,-1.5,0,8887
5500,3.5,-1,0,8411
5500,3.5,-0.5,0,7935
5500,3.5,0,0,10315
5500,3.5,0.2,0,10791
5500,3.5,0.5,0,11267
5500,4,-2.5,0,9840
5500,4,-2,0,9364
5500,4,-1.5,0,8888
5500,4,-1,0,8412
5500,4,-0.5,0,7936
5500,4,0,0,10316
5500,4,0.2,0,10792
5500,4,0.5,0,11268
5500,4.5,-2.5,0,9841
5500,4.5,-2,0,9365
5500,4.5,-1.5,0,8889
5500,4.5,-1,0,8413
5500,4.5,-0.5,0,7937
5500,4.5,0,0,10317
5500,4.5,0.2,0,10793
5500,4.5,0.5,0,11269
5500,5,-2.5,0,9842
5500,5,-2,0,9366
5500,5,-1.5,0,8890
5500,5,-1,0,8414
5500,5,-0.5,0,7938
5500,5,0,0,10318
5500,5,0.2,0,10794
5500,5,0.5,0,11270
5750,0,-2.5,0,9843
5750,0,-2,0,9367
5750,0,-1.5,0,8891
5750,0,-1,0,8415
5750,0,-0.5,0,7939
5750,0,0,0,10319
5750,0,0.2,0,10795
5750,0,0.5,0,11271
5750,0.5,-2.5,0,9844
5750,0.5,-2,0,9368
5750,0.5,-1.5,0,8892
5750,0.5,-1,0,8416
5750,0.5,-0.5,0,7940
5750,0.5,0,0,10320
5750,0.5,0.2,0,10796
5750,0.5,0.5,0,11272
5750,1,-2.5,0,9845
5750,1,-2,0,9369
5750,1,-1.5,0,8893
5750,1,-1,0,8417
5750,1,-0.5,0,7941
5750,1,0,0,10321
5750,1,0.2,0,10797
5750,1,0.5,0,11273
5750,1.5,-2.5,0,9846
5750,1.5,-2,0,9370
5750,1.5,-1.5,0,8894
5750,1.5,-1,0,8418
5750,1.5,-0.5,0,7942
5750,1.5,0,0,10322
5750,1.5,0.2,0,10798
5750,1.5,0.5,0,11274
5750,2,-2.5,0,9847
5750,2,-2,0,9371
5750,2,-1.5,0,8895
5750,2,-1,0,8419
5750,2,-0.5,0,7943
5750,2,0,0,10323
5750,2,0.2,0,10799
5750,2,0.5,0,11275
5750,2.5,-2.5,0,9848
5750,2.5,-2,0,9372
5750,2.5,-1.5,0,8896
5750,2.5,-1,0,8420
5750,2.5,-0.5,0,7944
5750,2.5,0,0,10324
5750,2.5,0.2,0,10800
5750,2.5,0.5,0,11276
5750,3,-2.5,0,9849
5750,3,-2,0,9373
5750,3,-1.5,0,8897
5750,3,-1,0,8421
5750,3,-0.5,0,7945
5750,3,0,0,10325
5750,3,0.2,0,10801
5750,3,0.5,0,11277
5750,3.5,-2.5,0,9850
5750,3.5,-2,0,9374
5750,3.5,-1.5,0,8898
5750,3.5,-1,0,8422
5750,3.5,-0.5,0,7946
5750,3.5,0,0,10326
5750,3.5,0.2,0,10802
5750,3.5,0.5,0,11278
5750,4,-2.5,0,9851
5750,4,-2,0,9375
5750,4,-1.5,0,8899
5750,4,-1,0,8423
5750,4,-0.5,0,7947
5750,4,0,0,10327
5750,4,0.2,0,10803
5750,4,0.5,0,11279
5750,4.5,-2.5,0,9852
5750,4.5,-2,0,9376
5750,4.5,-1.5,0,8900
5750,4.5,-1,0,8424
5750,4.5,-0.5,0,7948
5750,4.5,0,0,10328
5750,4.5,0.2,0,10804
5750,4.5,0.5,0,11280
5750,5,-2.5,0,9853
5750,5,-2,0,9377
5750,5,-1.5,0,8901
5750,5,-1,0,8425
5750,5,-0.5,0,7949
5750,5,0,0,10329
5750,5,0.2,0,10805
5750,5,0.5,0,11281
6000,0,-2.5,0,9854
6000,0,-2,0,9378
6000,0,-1.5,0,8902
6000,0,-1,0,8426
6000,0,-0.5,0,7950
6000,0,0,0,10330
6000,0,0.2,0,10806
6000,0,0.5,0,11282
6000,0.5,-2.5,0,9855
6000,0.5,-2,0,9379
6000,0.5,-1.5,0,8903
6000,0.5,-1,0,8427
6000,0.5,-0.5,0,7951
6000,0.5,0,0,10331
6000,0.5,0.2,0,10807
6000,0.5,0.5,0,11283
6000,1,-2.5,0,9856
6000,1,-2,0,9380
6000,1,-1.5,0,8904
6000,1,-1,0,8428
6000,1,-0.5,0,7952
6000,1,0,0,10332
6000,1,0.2,0,10808
6000,1,0.5,0,11284
6000,1.5,-2.5,0,9857
6000,1.5,-2,0,9381
6000,1.5,-1.5,0,8905
6000,1.5,-1,0,8429
6000,1.5,-0.5,0,7953
6000,1.5,0,0,10333
6000,1.5,0.2,0,10809
6000,1.5,0.5,0,11285
6000,2,-2.5,0,9858
6000,2,-2,0,9382
6000,2,-1.5,0,8906
6000,2,-1,0,8430
6000,2,-0.5,0,7954
6000,2,0,0,10334
6000,2,0.2,0,10810
6000,2,0.5,0,11286
6000,2.5,-2.5,0,9859
6000,2.5,-2,0,9383
6000,2.5,-1.5,0,8907
6000,2.5,-1,0,8431
6000,2.5,-0.5,0,7955
6000,2.5,0,0,10335
6000,2.5,0.2,0,10811
6000,2.5,0.5,0,11287
6000,3,-2.5,0,9860
6000,3,-2,0,9384
6000,3,-1.5,0,8908
6000,3,-1,0,8432
6000,3,-0.5,0,7956
6000,3,0,0,10336
6000,3,0.2,0,10812
6000,3,0.5,0,11288
6000,3.5,-2.5,0,9861
6000,3.5,-2,0,9385
6000,3.5,-1.5,0,8909
6000,3.5,-1,0,8433
6000,3.5,-0.5,0,7957
6000,3.5,0,0,10337
